2,3
4,3
5,6
7,2
8,7
10,6
12,5
13,7
14,5
15,3
16,5
18,5
19,1
20,3
22,7
24,6
26,6
27,6
30,6
33,2
37,1
40,5
43,3
44,7
45,7
46,3
51,5
52,7
54,6
55,1
56,3
59,7
60,7
61,6
62,6
63,7
66,3
71,3
73,7
74,2
75,1
76,3
80,1
83,6
86,3
89,1
90,3
92,2
96,1
97,1
101,6
104,6
106,2
107,6
108,1
109,5
110,7
111,2
112,6
116,7
118,6
122,6
123,5
124,5
126,6
129,5
130,5
135,7
136,7
137,7
138,2
139,7
141,2
143,2
144,3
145,3
146,2
149,2
152,6
153,3
154,1
155,5
157,3
158,3
159,3
160,2
161,5
162,2
168,6
170,2
176,5
178,2
180,7
186,3
187,3
189,5
191,3
194,6
196,6
197,1
198,2
199,1
202,6
205,6
208,2
209,3
213,5
