2,1
4,1
5,2
7,3
8,2
10,1
12,2
13,1
14,1
15,1
16,1
18,1
19,3
20,1
22,3
24,1
26,3
27,3
30,1
33,1
37,1
40,1
43,1
44,1
45,1
46,1
51,3
52,2
54,1
55,1
56,3
59,1
60,1
61,1
62,1
63,1
66,1
71,1
73,1
74,3
75,1
76,1
80,3
83,1
86,1
89,1
90,1
92,1
96,1
97,1
101,1
104,1
106,1
107,1
108,1
109,3
110,3
111,1
112,2
116,1
118,3
122,1
123,3
124,1
126,1
129,3
130,3
135,1
136,1
137,3
138,3
139,1
141,1
143,1
144,1
145,3
146,3
149,1
152,1
153,1
154,3
155,3
157,3
158,3
159,1
160,1
161,1
162,1
168,1
170,1
176,1
178,3
180,1
186,1
187,1
189,1
191,3
194,2
196,1
197,1
198,3
199,1
202,3
205,1
208,1
209,1
213,3
