2,1
4,2
5,1
7,1
8,1
10,1
12,1
13,2
14,1
15,2
16,1
18,1
19,7
20,2
22,2
24,1
26,2
27,2
30,2
33,7
37,1
40,1
43,2
44,2
45,2
46,1
51,7
52,1
54,1
55,2
56,2
59,1
60,1
61,1
62,1
63,1
66,1
71,2
73,1
74,2
75,2
76,2
80,2
83,1
86,2
89,2
90,1
92,2
96,1
97,2
101,1
104,2
106,2
107,2
108,2
109,1
110,7
111,2
112,1
116,1
118,2
122,1
123,2
124,2
126,1
129,2
130,2
135,2
136,2
137,7
138,7
139,1
141,1
143,1
144,1
145,7
146,7
149,1
152,2
153,1
154,7
155,2
157,2
158,7
159,2
160,1
161,2
162,2
168,1
170,2
176,2
178,7
180,2
186,1
187,2
189,2
191,7
194,1
196,1
197,1
198,2
199,2
202,2
205,2
208,1
209,1
213,2
