2,2
4,2
5,1
7,1
8,1
10,1
12,1
13,2
14,1
15,6
16,1
18,1
19,7
20,2
22,2
24,2
26,2
27,5
30,2
33,7
37,2
40,2
43,2
44,2
45,2
46,2
51,7
52,1
54,6
55,2
56,5
59,1
60,1
61,1
62,1
63,1
66,3
71,7
73,2
74,2
75,2
76,2
80,2
83,1
86,2
89,1
90,1
92,2
96,2
97,1
101,2
104,2
106,2
107,2
108,2
109,1
110,7
111,2
112,1
116,1
118,7
122,1
123,5
124,2
126,2
129,2
130,7
135,2
136,2
137,7
138,7
139,1
141,7
143,6
144,1
145,5
146,7
149,6
152,6
153,1
154,7
155,2
157,2
158,7
159,2
160,1
161,6
162,2
168,2
170,2
176,2
178,7
180,2
186,1
187,6
189,6
191,5
194,1
196,1
197,2
198,2
199,2
202,2
205,3
208,2
209,1
213,5
